iter	Passed	Remaining
0	59	59625
1	59	29933
2	60	20039
3	60	15095
4	60	12117
5	61	10131
6	61	8712
7	61	7647
8	61	6818
9	62	6166
10	62	5634
11	62	5183
12	63	4800
13	63	4472
14	63	4191
15	64	3949
16	64	3727
17	64	3530
18	65	3356
19	65	3208
20	65	3069
21	66	2942
22	66	2824
23	66	2718
24	67	2618
25	67	2523
26	67	2436
27	67	2356
28	68	2280
29	68	2211
30	68	2145
31	68	2084
32	69	2030
33	69	1979
34	70	1930
35	70	1881
36	70	1836
37	70	1793
38	71	1753
39	71	1716
40	71	1680
41	72	1644
42	72	1614
43	72	1582
44	73	1550
45	73	1521
46	73	1492
47	73	1467
48	74	1441
49	74	1416
50	74	1394
51	75	1371
52	75	1349
53	75	1328
54	76	1307
55	76	1289
56	76	1270
57	77	1251
58	77	1233
59	77	1216
60	77	1200
61	78	1184
62	78	1169
63	78	1154
64	79	1140
65	79	1126
66	79	1112
67	80	1098
68	80	1085
69	80	1072
70	81	1060
71	81	1047
72	81	1036
73	81	1024
74	82	1014
75	82	1003
76	82	992
77	83	981
78	83	971
79	83	963
80	84	954
81	84	945
82	84	933
83	84	924
84	85	915
85	85	906
86	85	897
87	85	889
88	86	881
89	86	875
90	86	867
91	87	859
92	87	852
93	87	845
94	88	839
95	88	832
96	88	825
97	88	819
98	89	813
99	89	806
100	89	800
101	90	794
102	90	787
103	90	781
104	91	776
105	91	770
106	91	765
107	92	760
108	92	754
109	92	749
110	92	743
111	93	738
112	93	733
113	93	727
114	93	722
115	94	717
116	94	712
117	94	708
118	95	703
119	95	699
120	95	694
121	95	689
122	96	685
123	96	681
124	96	676
125	97	672
126	97	668
127	97	664
128	97	660
129	98	656
130	98	652
131	98	648
132	98	644
133	99	641
134	99	637
135	99	634
136	100	630
137	100	626
138	100	623
139	101	620
140	101	617
141	101	613
142	101	610
143	102	607
144	102	604
145	102	600
146	102	597
147	103	594
148	103	591
149	103	588
150	104	587
151	104	584
152	104	581
153	105	578
154	105	575
155	105	572
156	106	570
157	106	567
158	106	564
159	107	561
160	107	558
161	107	555
162	107	553
163	108	550
164	108	548
165	108	545
166	108	543
167	109	540
168	109	537
169	109	535
170	109	533
171	110	530
172	110	528
173	110	525
174	110	523
175	111	520
176	111	518
177	111	516
178	112	513
179	112	511
180	112	509
181	112	507
182	113	505
183	113	502
184	113	500
185	113	498
186	114	496
187	114	494
188	114	492
189	114	490
190	115	487
191	115	486
192	115	484
193	116	482
194	116	480
195	116	478
196	116	476
197	117	474
198	117	472
199	117	470
200	118	469
201	118	467
202	118	465
203	118	463
204	119	461
205	119	460
206	119	458
207	120	456
208	120	455
209	120	453
210	120	452
211	121	450
212	121	448
213	121	447
214	122	446
215	122	444
216	122	442
217	122	441
218	123	439
219	123	437
220	123	436
221	124	435
222	124	433
223	124	432
224	124	430
225	125	428
226	125	427
227	125	425
228	126	424
229	126	423
230	126	422
231	127	420
232	127	419
233	127	418
234	127	416
235	128	415
236	128	413
237	128	412
238	129	410
239	129	409
240	129	408
241	130	407
242	130	406
243	130	405
244	131	403
245	131	402
246	131	401
247	131	400
248	132	398
249	132	397
250	132	396
251	133	395
252	133	393
253	133	392
254	134	391
255	134	390
256	134	389
257	134	388
258	135	386
259	135	385
260	135	384
261	136	383
262	136	382
263	136	381
264	137	380
265	137	379
266	137	377
267	137	376
268	138	375
269	138	374
270	138	373
271	139	372
272	139	371
273	139	370
274	140	369
275	140	368
276	140	366
277	140	365
278	141	364
279	141	363
280	141	362
281	142	362
282	142	361
283	142	360
284	143	359
285	143	358
286	143	356
287	143	355
288	144	354
289	144	353
290	144	352
291	145	351
292	145	350
293	145	349
294	145	348
295	146	347
296	146	346
297	146	345
298	147	345
299	147	344
300	147	342
301	147	342
302	148	340
303	148	339
304	148	339
305	149	338
306	149	337
307	149	336
308	150	335
309	150	334
310	150	333
311	150	332
312	151	332
313	151	331
314	151	330
315	152	329
316	152	328
317	152	327
318	153	326
319	153	326
320	153	325
321	153	324
322	154	323
323	154	322
324	154	321
325	155	320
326	155	319
327	155	318
328	155	318
329	156	317
330	156	316
331	156	315
332	157	314
333	157	313
334	157	313
335	158	312
336	158	311
337	158	310
338	158	309
339	159	308
340	159	307
341	159	307
342	159	306
343	160	305
344	160	304
345	160	303
346	161	303
347	161	302
348	161	301
349	161	300
350	162	300
351	162	299
352	162	298
353	163	297
354	163	296
355	163	296
356	163	295
357	164	294
358	164	293
359	165	294
360	165	293
361	166	292
362	166	291
363	166	291
364	166	290
365	167	289
366	167	289
367	167	288
368	168	287
369	168	286
370	168	285
371	168	285
372	169	284
373	169	283
374	169	283
375	170	282
376	170	281
377	170	280
378	171	280
379	171	279
380	171	278
381	171	278
382	172	277
383	172	276
384	172	276
385	173	275
386	173	274
387	173	274
388	174	273
389	174	272
390	174	271
391	174	271
392	175	270
393	175	270
394	175	269
395	176	268
396	176	268
397	176	267
398	177	267
399	177	266
400	177	265
401	178	265
402	178	264
403	178	263
404	179	263
405	179	262
406	179	261
407	180	261
408	180	260
409	180	260
410	180	259
411	181	258
412	181	257
413	181	257
414	182	256
415	182	256
416	182	255
417	182	254
418	183	254
419	183	253
420	183	252
421	184	252
422	184	251
423	184	250
424	184	250
425	185	249
426	185	249
427	185	248
428	186	247
429	186	247
430	186	246
431	187	245
432	187	245
433	187	244
434	187	244
435	188	243
436	188	242
437	188	242
438	189	241
439	189	241
440	189	240
441	190	240
442	190	239
443	190	238
444	191	238
445	191	237
446	191	237
447	191	236
448	192	236
449	192	235
450	193	235
451	193	234
452	193	233
453	193	233
454	194	232
455	194	232
456	194	231
457	195	230
458	195	230
459	195	229
460	196	229
461	196	228
462	196	227
463	196	227
464	197	226
465	197	226
466	197	225
467	198	225
468	198	224
469	198	223
470	198	223
471	199	222
472	199	222
473	199	221
474	199	221
475	200	220
476	200	219
477	200	219
478	201	218
479	201	218
480	201	217
481	202	217
482	202	216
483	202	216
484	203	215
485	203	214
486	203	214
487	203	213
488	204	213
489	204	212
490	204	212
491	205	211
492	205	211
493	205	210
494	206	210
495	206	209
496	206	209
497	207	208
498	207	208
499	207	207
500	207	207
501	208	206
502	208	206
503	208	205
504	209	205
505	209	204
506	209	204
507	210	203
508	210	203
509	210	202
510	211	201
511	211	201
512	211	200
513	211	200
514	212	199
515	212	199
516	212	198
517	213	198
518	213	197
519	213	197
520	214	196
521	214	196
522	214	195
523	214	195
524	215	194
525	215	194
526	215	193
527	216	193
528	216	192
529	216	192
530	216	191
531	217	191
532	217	190
533	217	190
534	218	189
535	218	189
536	218	188
537	219	188
538	219	187
539	219	187
540	219	186
541	220	186
542	220	185
543	220	184
544	220	184
545	221	183
546	221	183
547	221	182
548	222	182
549	222	181
550	222	181
551	222	180
552	223	180
553	223	179
554	223	179
555	224	178
556	224	178
557	224	177
558	225	177
559	225	177
560	225	176
561	225	176
562	226	175
563	226	175
564	226	174
565	227	174
566	227	173
567	227	173
568	228	172
569	228	172
570	228	171
571	229	171
572	229	170
573	229	170
574	229	169
575	230	169
576	230	169
577	230	168
578	231	168
579	231	167
580	232	167
581	232	166
582	232	166
583	232	165
584	233	165
585	233	164
586	233	164
587	234	163
588	234	163
589	234	163
590	234	162
591	235	162
592	235	161
593	235	161
594	236	160
595	236	160
596	236	159
597	236	159
598	237	158
599	237	158
600	237	157
601	238	157
602	238	156
603	238	156
604	239	156
605	239	155
606	239	155
607	239	154
608	240	154
609	240	153
610	241	153
611	241	153
612	241	152
613	242	152
614	243	152
615	243	151
616	244	151
617	244	151
618	244	150
619	245	150
620	245	149
621	245	149
622	245	148
623	246	148
624	246	147
625	246	147
626	246	146
627	247	146
628	247	145
629	247	145
630	248	145
631	248	144
632	248	144
633	248	143
634	249	143
635	249	142
636	249	142
637	249	141
638	250	141
639	250	140
640	250	140
641	251	139
642	251	139
643	251	139
644	251	138
645	252	138
646	252	137
647	252	137
648	252	136
649	253	136
650	253	135
651	253	135
652	254	135
653	254	134
654	254	134
655	254	133
656	255	133
657	255	132
658	256	132
659	256	132
660	256	131
661	256	131
662	257	130
663	257	130
664	257	129
665	258	129
666	258	128
667	258	128
668	258	128
669	259	127
670	259	127
671	259	126
672	260	126
673	260	125
674	260	125
675	260	125
676	261	124
677	261	124
678	261	123
679	262	123
680	262	122
681	262	122
682	262	122
683	263	121
684	263	121
685	263	120
686	264	120
687	264	119
688	264	119
689	265	119
690	265	118
691	265	118
692	266	117
693	266	117
694	266	117
695	267	116
696	267	116
697	267	115
698	267	115
699	268	114
700	268	114
701	268	114
702	269	113
703	269	113
704	269	112
705	270	112
706	270	112
707	270	111
708	270	111
709	271	110
710	271	110
711	271	109
712	272	109
713	272	109
714	272	108
715	272	108
716	273	107
717	273	107
718	274	107
719	274	106
720	274	106
721	274	105
722	275	105
723	275	104
724	275	104
725	276	104
726	276	103
727	276	103
728	276	102
729	277	102
730	277	102
731	277	101
732	278	101
733	278	100
734	278	100
735	278	100
736	279	99
